time	bpb	status	desc
2026-03-15 16:55:16	2.249102	keep	MATRIX_LR=0.041
2026-03-15 17:05:01	2.328888	discard	MATRIX_LR=0.05, EMBEDDING_LR=0.05, SCALAR_LR=0.05, WEIGHT_DECAY=0.05
2026-03-15 17:15:56	2.338835	discard	MATRIX_LR=0.1, EMBEDDING_LR=0.03, SCALAR_LR=0.001, WEIGHT_DECAY=0.1
2026-03-15 17:27:26	2.426801	discard	MATRIX_LR=0.05
2026-03-15 17:37:16	2.258543	discard	MATRIX_LR=0.05, EMBEDDING_LR=0.03, SCALAR_LR=0.02, WEIGHT_DECAY=0.01
2026-03-15 17:45:31	2.298213	discard	MATRIX_LR=0.041
2026-03-15 17:57:09	2.419893	discard	MATRIX_LR=0.041, EMBEDDING_LR=0.005, SCALAR_LR=0.05, WEIGHT_DECAY=0.0005
2026-03-15 18:06:34	2.333243	discard	MATRIX_LR=0.041, EMBEDDING_LR=0.041, SCALAR_LR=0.041, WEIGHT_DECAY=0.041
2026-03-15 18:17:18	2.315711	discard	MATRIX_LR=0.15, EMBEDDING_LR=0.02, SCALAR_LR=0.1, WEIGHT_DECAY=0.041
2026-03-15 18:28:16	2.439392	discard	MATRIX_LR=0.0464251816618724
2026-03-15 18:44:37	2.399645	discard	MATRIX_LR=0.041
2026-03-15 18:57:58	2.331871	discard	MATRIX_LR=0.041
2026-03-15 19:08:53	2.334599	discard	MATRIX_LR=0.041
2026-03-15 19:20:15	2.363055	discard	MATRIX_LR=0.041
2026-03-15 20:14:01	2.397414	discard	MATRIX_LR=0.041
2026-03-15 20:14:06	2.397414	discard	MATRIX_LR=0.041
2026-03-15 20:14:16	2.397414	discard	MATRIX_LR=0.041
2026-03-15 20:21:22	2.376798	discard	MATRIX_LR=0.041, EMBEDDING_LR=0.02, SCALAR_LR=0.025, WEIGHT_DECAY=0.001
2026-03-15 20:28:45	2.297137	discard	MATRIX_LR=0.041, EMBEDDING_LR=0.041, SCALAR_LR=0.041, WEIGHT_DECAY=0.041
2026-03-15 20:36:06	2.256851	discard	MATRIX_LR=0.041
2026-03-15 20:40:25	2.567373	discard	MATRIX_LR=0.041
2026-03-15 20:42:36	2.260402	discard	MATRIX_LR=0.041176825992812735
2026-03-15 20:49:57	2.252878	discard	 MATRIX_LR=0.041,  EMBEDDING_LR=0.041,  SCALAR_LR=0.041,  WEIGHT_DECAY=0.041
2026-03-15 20:58:09	2.290804	discard	MATRIX_LR=0.041, EMBEDDING_LR=0.041, SCALAR_LR=0.041, WEIGHT_DECAY=0.041
2026-03-15 21:06:03	2.308954	discard	MATRIX_LR=0.041
2026-03-15 21:12:27	2.262235	discard	MATRIX_LR=0.041
2026-03-16 15:51:39	2.257189	discard	MATRIX_LR=0.041
2026-03-16 15:58:31	2.242847	keep	MATRIX_LR=0.032
2026-03-16 16:05:23	2.237408	keep	SCALAR_LR=0.0208
2026-03-16 16:12:16	2.530717	discard	MATRIX_LR=0.041, EMBEDDING_LR=0.16
2026-03-16 16:19:08	2.539982	discard	MATRIX_LR=0.023, SUGGESTED_CHANGE=Increase the threshold to 0.023
2026-03-16 16:26:00	2.552409	discard	MATRIX_LR=0.04703424800093476
2026-03-16 16:32:52	2.530665	discard	MATRIX_LR=0.04168887800558713
2026-03-16 19:44:56	2.551418	discard	MATRIX_LR=0.041185063004983306
2026-03-16 19:52:19	2.531722	discard	MATRIX_LR=0.04628792598729548
2026-03-16 19:59:12	2.514732	discard	MATRIX_LR=0.0425047819980193
2026-03-16 20:06:04	2.552862	discard	MATRIX_LR=0.048482437002263554
2026-03-16 20:12:56	2.519315	discard	MATRIX_LR=0.04326753900854431
2026-03-16 20:31:37	2.621449	discard	MATRIX_LR=0.04705903501010634
2026-03-16 20:39:19	2.605040	discard	MATRIX_LR=0.04738501500447234
2026-03-16 20:49:04	2.650152	discard	MATRIX_LR=0.04997494899426572
2026-03-16 20:56:29	2.586739	discard	MATRIX_LR=0.0447963200101169
2026-03-16 21:07:46	2.519979	discard	MATRIX_LR=0.04663717698644119
2026-03-16 21:14:38	2.516368	discard	MATRIX_LR=0.04688495399533463
2026-03-16 21:21:30	2.507924	discard	MATRIX_LR=0.04170652498709666
2026-03-16 22:59:44	2.566146	discard	SCALAR_LR=0.0012482939958043705	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-16 23:06:56	2.578594	discard	SCALAR_LR=0.0016269420042558068	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-16 23:14:09	2.583003	discard	SCALAR_LR=0.001043711001696492	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-16 23:21:11	2.580084	discard	SCALAR_LR=0.0010539589835694722	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-16 23:28:13	2.576112	discard	SCALAR_LR=0.0010782239860103798	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-16 23:35:56	2.581293	discard	SCALAR_LR=0.001894284995661989	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-16 23:44:58	2.577669	discard	SCALAR_LR=0.0012266820039679239	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-16 23:52:00	2.578143	discard	SCALAR_LR=0.001041788993309093	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-16 23:59:12	2.572708	discard	SCALAR_LR=0.001286674008368671	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-17 00:06:14	2.589396	discard	SCALAR_LR=0.001768979001445444	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-17 00:13:17	2.536035	discard	SCALAR_LR=0.0012076210010520064	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-17 00:24:39	2.581451	discard	SCALAR_LR=0.0013298739852476461	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-17 00:31:51	2.563708	discard	SCALAR_LR=0.0012849660034736973	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-17 00:38:53	2.557166	discard	SCALAR_LR=0.0012741429943948996	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-17 00:47:15	2.561998	discard	SCALAR_LR=0.0016558949931792374	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-17 00:54:17	2.569391	discard	SCALAR_LR=0.001684709985572198	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-17 01:01:20	2.560592	discard	SCALAR_LR=0.0017662819822410756	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-17 01:08:22	2.557109	discard	SCALAR_LR=0.001687515999464896	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-17 01:15:24	2.556744	discard	SCALAR_LR=0.0012520940059655887	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-17 01:22:26	2.562278	discard	SCALAR_LR=0.001999972983752864	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-17 01:29:28	2.559717	discard	SCALAR_LR=0.001584056988837475	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-17 01:36:30	2.556686	discard	SCALAR_LR=0.0017893449855082314	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-17 01:43:33	2.558611	discard	SCALAR_LR=0.0018219599816905584	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-17 01:51:05	2.565711	discard	SCALAR_LR=0.0012839029889888968	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-17 01:58:07	2.557515	discard	SCALAR_LR=0.001885009003548467	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-17 02:05:09	2.559237	discard	SCALAR_LR=0.0014501049953672268	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-17 02:12:12	2.557393	discard	SCALAR_LR=0.001386474984658586	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-17 02:19:14	2.561877	discard	SCALAR_LR=0.001631661009460916	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-17 02:26:16	2.565265	discard	SCALAR_LR=0.0011325159852288687	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-17 02:33:18	2.557118	discard	SCALAR_LR=0.0010980699948768104	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-17 02:40:21	2.560558	discard	SCALAR_LR=0.0016273020046476839	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-17 02:47:23	2.557243	discard	SCALAR_LR=0.0016667909875137934	Qwen3-4B-presinq-Q4_K_S.gguf
